Date,T_BILL_3_MO,SP_FINANCE,SP_ENEGY,SP_MATERIALS,SP_CONSUM_DIS,SP_CONSUM_STAPLE,SP_HEALTH,SP_UTIL,SP_500,SP_INFO_TECH,SP_TELE_COMM
20050131,0.02421999931335449,-0.011534959606947554,-0.013722073622337698,-0.01345506617669269,-0.013096266520338963,-0.02363521606680819,-0.023718425581880913,-0.01329182026891491,-0.01575971869627913,-0.01337539711918303,-0.024638931975474974
20050228,0.02690000057220459,-0.03484145398657372,-0.029913583298147813,-0.035829041620350215,-0.029900031585304132,-0.030100883014321282,-0.042694601555825204,-0.0344081217697636,-0.033314241937410546,-0.029456132856901268,-0.03212002600984066
20050331,0.027219998836517333,-0.029463596490456666,-0.012231442927852632,-0.01786250335994602,-0.026762560921615212,-0.032504767381574956,-0.034574012958592706,-0.01690361012299686,-0.027914142559398794,-0.030781845699540154,-0.021251337641746852
20050430,0.028369998931884764,-0.012782859255625159,-0.014940834497596629,-0.002317149716897386,-0.026410610432009117,-0.023222382973725475,-0.013221898205729183,-0.01404042514169353,-0.016447529737763256,-0.016705156410839684,-0.02189479667363084
20050531,0.028819999694824218,-0.032635531405376644,-0.0370761603440294,-0.03679111249001214,-0.03551062523517647,-0.03480853168018578,-0.035280852614667436,-0.02750162822306721,-0.03489286470671884,-0.03752299399008514,-0.028736398636013617
20050630,0.03059999942779541,-0.036867391210473596,-0.039268765678866176,-0.046270124094124565,-0.03524309776524323,-0.03914985577519928,-0.03804658167018014,-0.02922516368958023,-0.037700903461309526,-0.039521933819343436,-0.033482131315799114
20050731,0.033320000171661375,-0.04244899548597437,-0.047001115139825266,-0.03728351835196288,-0.04301466321649078,-0.03887901219384012,-0.03920757610399208,-0.033747850694288206,-0.04099047038755266,-0.04046463512204814,-0.03539769025875256
20050831,0.03430000066757202,-0.027520268455868552,-0.00832144545713456,-0.024517911150322258,-0.026670780577680495,-0.029014588405415574,-0.023419022001474187,-0.02607553827932278,-0.024435863878032968,-0.026936139851649925,-0.020678519607914364
20050930,0.034700000286102296,-0.03726459097940731,-0.05070372070544934,-0.02797587292220447,-0.028262824158042266,-0.027031538017684827,-0.03381961289885863,-0.03628174766330234,-0.03377956105651898,-0.029363589050736574,-0.02757407572844118
20051031,0.03805000066757202,-0.03382177188964424,-0.03084032768685696,-0.03551517435233123,-0.022856814024056194,-0.032886290578162045,-0.032405653848907014,-0.026761225168032456,-0.030873846145614774,-0.0245506201654401,-0.03693049282789626
20051130,0.03857000112533569,-0.0525521493528217,-0.03762557020857564,-0.047657437214575486,-0.044554400925956514,-0.047284640574275574,-0.04422000413424334,-0.048138474156593974,-0.04493193143377515,-0.038863291348496705,-0.048875967512290924
